Date,stats
2001 JAN,7.5
2001 FEB,11.7
2001 MAR,5
2001 APR,7.6
2001 MAY,5
2001 JUN,6.6
2001 JUL,4.8
2001 AUG,4.3
2001 SEP,3.9
2001 OCT,4.6
2001 NOV,4.5
2001 DEC,2.5
2002 JAN,3.7
2002 FEB,2.3
2002 MAR,1.6
2002 APR,3.6
2002 MAY,4.1
2002 JUN,4
2002 JUL,4.3
2002 AUG,3.4
2002 SEP,3.5
2002 OCT,3.4
2002 NOV,2.7
2002 DEC,1.2
2003 JAN,1.4
2003 FEB,1.4
2003 MAR,4.4
2003 APR,2
2003 MAY,2.6
2003 JUN,1.7
2003 JUL,2.3
2003 AUG,2.2
2003 SEP,2.9
2003 OCT,3.8
2003 NOV,3.3
2003 DEC,3.6
2004 JAN,10.9
2004 FEB,3.7
2004 MAR,4
2004 APR,3.8
2004 MAY,4.5
2004 JUN,4.4
2004 JUL,3.8
2004 AUG,4.6
2004 SEP,4.3
2004 OCT,4.4
2004 NOV,4.2
2004 DEC,4.4
2005 JAN,4.7
2005 FEB,7.8
2005 MAR,4.5
2005 APR,4.2
2005 MAY,3.8
2005 JUN,4.8
2005 JUL,5.2
2005 AUG,5.7
2005 SEP,5
2005 OCT,3.8
2005 NOV,4.7
2005 DEC,4.1
2006 JAN,3.2
2006 FEB,7.4
2006 MAR,7.5
2006 APR,4.2
2006 MAY,4.8
2006 JUN,6.4
2006 JUL,5.1
2006 AUG,3.9
2006 SEP,3.9
2006 OCT,4.6
2006 NOV,4.8
2006 DEC,7.6
2007 JAN,7.8
2007 FEB,10.5
2007 MAR,4.8
2007 APR,4.7
2007 MAY,5.2
2007 JUN,4.3
2007 JUL,5
2007 AUG,5.5
2007 SEP,6.4
2007 OCT,4.8
2007 NOV,5.1
2007 DEC,2.2
2008 JAN,3.6
2008 FEB,4.9
2008 MAR,5.7
2008 APR,5.2
2008 MAY,4.5
2008 JUN,3.7
2008 JUL,3
2008 AUG,3.2
2008 SEP,2.6
2008 OCT,4
2008 NOV,2.1
2008 DEC,3
2009 JAN,-4.4
2009 FEB,-9.9
2009 MAR,-2.9
2009 APR,1.6
2009 MAY,0.4
2009 JUN,0.6
2009 JUL,-0.5
2009 AUG,-0.8
2009 SEP,0
2009 OCT,-0.9
2009 NOV,0
2009 DEC,-0.4
2010 JAN,-2.3
2010 FEB,6.4
2010 MAR,6.8
2010 APR,-1.2
2010 MAY,0.9
2010 JUN,-0.6
2010 JUL,1.2
2010 AUG,1.7
2010 SEP,2
2010 OCT,2
2010 NOV,2
2010 DEC,1.2
2011 JAN,7.2
2011 FEB,0.7
2011 MAR,2.6
2011 APR,2.8
2011 MAY,2.7
2011 JUN,3.8
2011 JUL,3.4
2011 AUG,2.3
2011 SEP,1.8
2011 OCT,2.6
2011 NOV,2.3
2011 DEC,2.5
2012 JAN,-0.7
2012 FEB,-0.3
2012 MAR,0.9
2012 APR,3
2012 MAY,1.7
2012 JUN,1.6
2012 JUL,2
2012 AUG,2.4
2012 SEP,2.1
2012 OCT,1.2
2012 NOV,1.6
2012 DEC,1.4
2013 JAN,1
2013 FEB,0.4
2013 MAR,-1.4
2013 APR,5.6
2013 MAY,2.5
2013 JUN,1.4
2013 JUL,1.1
2013 AUG,1.1
2013 SEP,1
2013 OCT,1.5
2013 NOV,0.7
2013 DEC,2.2
2014 JAN,1.3
2014 FEB,2.7
2014 MAR,1.8
2014 APR,-1.9
2014 MAY,0.9
2014 JUN,1.5
2014 JUL,0.1
2014 AUG,1.1
2014 SEP,1.8
2014 OCT,2.7
2014 NOV,2.4
2014 DEC,3.4
2015 JAN,2.1
2015 FEB,0.3
2015 MAR,6.2
2015 APR,3.6
2015 MAY,3.5
2015 JUN,2.6
2015 JUL,4.9
2015 AUG,4
2015 SEP,2.4
2015 OCT,2.2
2015 NOV,2.4
2015 DEC,2.3
2016 JAN,2.9
2016 FEB,0.5
2016 MAR,2.5
2016 APR,3.4
